season,tournament,date,home_team,away_team,home_score,away_score,venue,espn_match_id
2022,Rugby Championship / Tri Nations,2022-09-24,South Africa,Argentina,38,21,Hollywoodbets Kings Park,595493
2023,Rugby Championship / Tri Nations,2023-07-08,South Africa,Australia,43,12,Loftus Versfeld,596592
2023,Rugby Championship / Tri Nations,2023-07-08,Argentina,New Zealand,12,41,Estadio Malvinas Argentinas,596591
2023,Rugby Championship / Tri Nations,2023-07-15,New Zealand,South Africa,35,20,Go Media Stadium,596593
2023,Rugby Championship / Tri Nations,2023-07-15,Australia,Argentina,31,34,CommBank Stadium,596594
2023,Rugby Championship / Tri Nations,2023-07-29,Australia,New Zealand,7,38,Melbourne Cricket Ground,596595
2023,Rugby Championship / Tri Nations,2023-07-29,South Africa,Argentina,22,21,Ellis Park,596596
2024,Rugby Championship / Tri Nations,2024-08-10,Australia,South Africa,7,33,Suncorp Stadium,600015
2024,Rugby Championship / Tri Nations,2024-08-10,New Zealand,Argentina,30,38,Sky Stadium,600016
2024,Rugby Championship / Tri Nations,2024-08-17,New Zealand,Argentina,42,10,Eden Park,600017
2024,Rugby Championship / Tri Nations,2024-08-17,Australia,South Africa,12,30,Optus Stadium,600018
2024,Rugby Championship / Tri Nations,2024-09-07,South Africa,New Zealand,18,12,DHL Stadium,600021
2024,Rugby Championship / Tri Nations,2024-09-07,Argentina,Australia,67,27,Estadio Brigadier General Estanislao López,600022
2024,Rugby Championship / Tri Nations,2024-09-21,Australia,New Zealand,28,31,Accor Stadium,600023
2024,Rugby Championship / Tri Nations,2024-09-21,Argentina,South Africa,29,28,Estadio Único Madre de Ciudades,600024
2024,Rugby Championship / Tri Nations,2024-09-28,New Zealand,Australia,33,13,Sky Stadium,600025
2024,Rugby Championship / Tri Nations,2024-09-28,South Africa,Argentina,48,7,Mbombela Stadium,600026
2025,Rugby Championship / Tri Nations,2025-08-16,South Africa,Australia,22,38,Ellis Park,603118
2025,Rugby Championship / Tri Nations,2025-08-16,Argentina,New Zealand,24,41,Estadio Mario Alberto Kempes,603119
2025,Rugby Championship / Tri Nations,2025-08-23,South Africa,Australia,30,22,DHL Stadium,603120
2025,Rugby Championship / Tri Nations,2025-08-23,Argentina,New Zealand,29,23,Estadio José Amalfitani,603121
2025,Rugby Championship / Tri Nations,2025-09-06,Australia,Argentina,28,24,Queensland Country Bank Stadium,603122
2025,Rugby Championship / Tri Nations,2025-09-06,New Zealand,South Africa,24,17,Eden Park,603123
2025,Rugby Championship / Tri Nations,2025-09-13,Australia,Argentina,26,28,Allianz Stadium,603124
2025,Rugby Championship / Tri Nations,2025-09-13,New Zealand,South Africa,10,43,Sky Stadium,603125
2025,Rugby Championship / Tri Nations,2025-09-27,New Zealand,Australia,33,24,Eden Park,603126
2025,Rugby Championship / Tri Nations,2025-09-27,South Africa,Argentina,67,30,Hollywoodbets Kings Park,603127
2025,Rugby Championship / Tri Nations,2025-10-04,Australia,New Zealand,14,28,Optus Stadium,603128
2025,Rugby Championship / Tri Nations,2025-10-04,Argentina,South Africa,27,29,Allianz Stadium,603129
